activity,median_wait,mean_wait,n
A_Cancelled,735.8825830555556,612.5011270825744,10431
A_Validating,122.89015263888889,142.52362260071018,38816
A_Denied,46.39752916666667,64.98602674971134,3753
A_Accepted,20.717941666666665,34.02663717148716,31509
O_Accepted,20.710654027777778,63.46072481656154,17228
W_Assess potential fraud,4.98634,41.92287497734437,282
W_Call incomplete files,1.739103888888889,17.069608091060985,2793
W_Handle leads,1.4677422222222223,6.316844568661131,3493
A_Incomplete,0.7370897222222222,22.190589469890842,23055
O_Create Offer,0.056194722222222215,23.976859879876212,42995
W_Validate application,0.05347430555555556,24.65577382847117,15848
A_Concept,0.009325555555555556,0.019837269774773347,31509
