case:concept:name,start_time,end_time,duration_hours,duration_days
travel permit 10022,2018-02-20 13:51:27+00:00,2018-04-23 17:31:11+00:00,1491.6622222222222,62.15259259259259
travel permit 10040,2018-02-20 13:53:11+00:00,2018-05-17 17:31:34+00:00,2067.639722222222,86.15165509259259
travel permit 10060,2018-02-20 17:29:10+00:00,2018-11-01 06:00:45+00:00,6084.5263888888885,253.52193287037036
travel permit 10066,2018-02-21 16:28:17+00:00,2018-03-01 17:31:26+00:00,193.0525,8.043854166666668
travel permit 10077,2018-02-22 12:53:59+00:00,2018-07-19 17:32:03+00:00,3532.6344444444444,147.19310185185185
travel permit 10087,2018-02-23 10:01:30+00:00,2018-05-31 17:31:13+00:00,2335.4952777777776,97.31230324074073
travel permit 10100,2018-02-23 15:58:15+00:00,2018-09-06 17:31:09+00:00,4681.548333333333,195.06451388888888
travel permit 10120,2018-02-23 16:44:11+00:00,2018-08-01 06:00:59+00:00,3805.28,158.55333333333334
travel permit 10125,2018-02-23 22:47:29+00:00,2018-04-12 17:31:11+00:00,1146.7283333333332,47.78034722222222
travel permit 10136,2018-02-23 22:48:56+00:00,2018-06-21 17:31:08+00:00,2826.7033333333334,117.77930555555555
travel permit 10148,2018-02-19 00:00:00+00:00,2018-03-22 17:31:11+00:00,761.5197222222222,31.729988425925924
travel permit 10159,2018-02-25 07:32:20+00:00,2018-08-01 06:00:47+00:00,3766.474166666667,156.9364236111111
travel permit 10165,2018-08-26 00:00:00+00:00,2018-10-04 17:31:16+00:00,953.5211111111112,39.7300462962963
travel permit 10181,2018-09-03 12:54:24+00:00,2018-11-05 17:31:18+00:00,1516.615,63.19229166666667
travel permit 1019,2018-03-01 12:11:55+00:00,2018-07-01 06:01:21+00:00,2921.823888888889,121.74266203703705
travel permit 10194,2018-09-03 15:26:34+00:00,2019-01-01 06:00:51+00:00,2870.571388888889,119.6071412037037
travel permit 10200,2018-09-04 15:09:58+00:00,2019-01-01 06:00:46+00:00,2846.846666666667,118.61861111111112
travel permit 10205,2018-09-05 07:43:00+00:00,2018-10-04 17:31:16+00:00,705.8044444444445,29.40851851851852
travel permit 10215,2018-09-05 08:37:34+00:00,2018-12-06 17:31:34+00:00,2216.9,92.37083333333334
travel permit 10227,2018-09-05 12:58:48+00:00,2018-11-22 17:31:33+00:00,1876.5458333333333,78.18940972222222
travel permit 1025,2018-03-01 14:50:22+00:00,2018-05-17 17:31:34+00:00,1850.6866666666667,77.11194444444445
travel permit 10263,2018-09-05 13:52:59+00:00,2018-10-18 17:31:17+00:00,1035.6383333333333,43.15159722222222
travel permit 10276,2018-08-20 00:00:00+00:00,2018-10-04 17:31:16+00:00,1097.5211111111112,45.7300462962963
travel permit 10293,2018-09-05 16:41:02+00:00,2019-01-10 17:31:08+00:00,3048.835,127.03479166666666
travel permit 10303,2018-09-05 16:45:16+00:00,2019-03-09 00:00:00+00:00,4423.245555555555,184.30189814814813
travel permit 10316,2018-09-06 09:53:00+00:00,2018-11-29 17:31:20+00:00,2023.638888888889,84.31828703703704
travel permit 10341,2018-09-06 15:15:01+00:00,2019-01-01 06:00:39+00:00,2798.7605555555556,116.61502314814815
travel permit 10348,2018-09-06 15:15:28+00:00,2018-12-03 17:31:23+00:00,2114.2652777777776,88.09438657407406
travel permit 10360,2018-09-07 00:00:51+00:00,2019-02-01 06:00:43+00:00,3533.9977777777776,147.2499074074074
travel permit 10366,2018-09-07 00:03:11+00:00,2019-03-01 06:00:57+00:00,4205.962777777778,175.24844907407407
travel permit 1037,2018-03-01 14:57:54+00:00,2018-05-22 00:00:00+00:00,1953.035,81.37645833333333
travel permit 10372,2018-09-08 22:40:54+00:00,2018-11-26 17:31:22+00:00,1890.841111111111,78.7850462962963
travel permit 10382,2018-09-09 13:48:55+00:00,2018-12-03 17:31:24+00:00,2043.7080555555556,85.15450231481482
travel permit 1039,2018-03-02 13:07:26+00:00,2018-06-29 00:00:00+00:00,2842.876111111111,118.4531712962963
travel permit 10420,2018-09-10 13:32:16+00:00,2018-09-23 00:00:00+00:00,298.46222222222224,12.435925925925927
travel permit 10425,2018-06-11 14:06:39+00:00,2018-07-19 17:32:03+00:00,915.4233333333333,38.14263888888889
travel permit 10436,2018-06-11 14:13:42+00:00,2018-12-17 17:31:08+00:00,4539.290555555555,189.13710648148148
travel permit 10453,2018-06-13 14:11:08+00:00,2018-07-23 17:31:11+00:00,963.3341666666666,40.13892361111111
travel permit 10470,2018-06-14 07:49:09+00:00,2018-06-28 17:31:35+00:00,345.70722222222224,14.404467592592594
travel permit 10482,2018-06-14 10:38:06+00:00,2018-07-05 17:31:35+00:00,510.8913888888889,21.287141203703705
travel permit 10493,2018-06-14 10:41:16+00:00,2018-10-04 17:31:16+00:00,2694.8333333333335,112.28472222222223
travel permit 1050,2018-03-03 15:08:54+00:00,2018-08-09 17:31:39+00:00,3818.3791666666666,159.09913194444445
travel permit 10508,2018-06-14 11:12:55+00:00,2018-11-01 06:00:37+00:00,3354.795,139.783125
travel permit 10514,2018-06-14 15:21:30+00:00,2018-11-01 06:00:33+00:00,3350.650833333333,139.6104513888889
travel permit 10520,2018-06-14 15:23:21+00:00,2018-07-12 17:31:20+00:00,674.1330555555555,28.088877314814813
travel permit 10538,2018-06-14 20:11:44+00:00,2019-01-01 06:00:45+00:00,4809.816944444445,200.40903935185187
travel permit 10549,2018-06-14 22:24:09+00:00,2018-08-16 17:31:23+00:00,1507.1205555555555,62.79668981481481
travel permit 10569,2018-06-14 22:24:43+00:00,2018-11-01 06:00:43+00:00,3343.6,139.31666666666666
travel permit 10575,2018-06-11 00:00:00+00:00,2018-06-21 17:31:08+00:00,257.5188888888889,10.729953703703705
travel permit 10587,2018-06-15 13:40:26+00:00,2018-07-23 17:31:11+00:00,915.8458333333333,38.160243055555554
travel permit 10601,2018-06-16 12:33:47+00:00,2018-10-01 17:31:14+00:00,2572.9575,107.2065625
travel permit 10615,2018-06-18 18:09:16+00:00,2018-07-19 17:32:03+00:00,743.3797222222222,30.974155092592593
travel permit 10626,2018-06-18 18:59:08+00:00,2018-09-10 17:31:24+00:00,2014.5377777777778,83.93907407407407
travel permit 10636,2018-06-13 00:00:00+00:00,2018-07-05 17:31:35+00:00,545.5263888888888,22.730266203703703
travel permit 10648,2018-06-20 10:10:43+00:00,2018-11-08 17:31:14+00:00,3391.3419444444444,141.30591435185184
travel permit 10660,2018-06-20 10:12:32+00:00,2018-07-26 17:31:03+00:00,871.3086111111111,36.304525462962964
travel permit 10672,2018-09-10 19:56:36+00:00,2018-12-03 17:31:23+00:00,2013.5797222222222,83.8991550925926
travel permit 10682,2018-09-11 09:59:53+00:00,2018-10-25 17:31:42+00:00,1063.5302777777779,44.31376157407408
travel permit 10692,2018-09-11 11:48:47+00:00,2018-10-08 17:31:16+00:00,653.7080555555556,27.23783564814815
travel permit 10704,2018-09-11 11:49:59+00:00,2018-10-08 17:31:16+00:00,653.6880555555556,27.237002314814816
travel permit 10716,2018-09-11 14:23:24+00:00,2018-11-15 17:31:19+00:00,1563.1319444444443,65.13049768518518
travel permit 10741,2018-09-12 08:50:08+00:00,2018-11-05 17:31:18+00:00,1304.6861111111111,54.361921296296295
travel permit 10751,2018-09-12 08:58:03+00:00,2019-03-01 06:00:59+00:00,4077.048888888889,169.87703703703704
travel permit 10756,2018-09-12 10:08:57+00:00,2018-11-05 17:31:18+00:00,1303.3725,54.3071875
travel permit 1076,2018-03-03 18:31:37+00:00,2018-04-16 17:31:10+00:00,1054.9925,43.958020833333336
travel permit 10766,2018-09-12 10:10:35+00:00,2018-10-04 17:31:16+00:00,535.3447222222222,22.306030092592593
travel permit 10778,2018-09-12 11:05:57+00:00,2018-11-29 17:31:20+00:00,1878.4230555555555,78.26762731481482
travel permit 10790,2018-09-11 00:00:00+00:00,2019-01-01 06:00:43+00:00,2694.0119444444445,112.25049768518518
travel permit 10795,2018-09-13 16:11:31+00:00,2018-12-13 17:31:08+00:00,2185.3269444444445,91.05528935185185
travel permit 10814,2018-09-14 10:11:17+00:00,2018-10-11 17:31:07+00:00,655.3305555555555,27.305439814814815
travel permit 10830,2018-09-14 15:00:15+00:00,2019-02-01 06:00:51+00:00,3351.01,139.62541666666667
travel permit 10835,2018-09-16 19:31:19+00:00,2018-11-05 17:31:18+00:00,1197.9997222222223,49.9166550925926
travel permit 10845,2018-09-17 16:13:59+00:00,2018-11-29 17:31:20+00:00,1753.2891666666667,73.05371527777778
travel permit 10860,2018-09-17 16:23:38+00:00,2018-10-08 17:31:16+00:00,505.1272222222222,21.04696759259259
travel permit 10872,2018-09-17 16:25:33+00:00,2018-12-20 17:31:29+00:00,2257.0988888888887,94.04578703703703
travel permit 10884,2018-09-17 16:48:38+00:00,2018-12-20 17:31:29+00:00,2256.7141666666666,94.02975694444444
travel permit 10898,2018-09-27 12:35:05+00:00,2018-11-05 17:31:18+00:00,940.9369444444444,39.20570601851852
travel permit 10909,2018-06-11 15:21:48+00:00,2018-07-09 17:31:26+00:00,674.1605555555556,28.09002314814815
travel permit 10920,2018-06-12 08:19:56+00:00,2018-11-01 06:00:36+00:00,3405.677777777778,141.90324074074076
travel permit 10927,2018-06-16 22:55:14+00:00,2018-10-08 17:31:16+00:00,2730.6005555555557,113.77502314814815
travel permit 10937,2018-06-18 08:56:49+00:00,2018-08-27 17:31:17+00:00,1688.5744444444445,70.35726851851852
travel permit 1095,2018-03-04 14:21:20+00:00,2018-06-07 17:31:37+00:00,2283.171388888889,95.13214120370371
travel permit 10951,2018-06-19 11:51:42+00:00,2018-07-27 00:00:00+00:00,900.1383333333333,37.505763888888886
travel permit 10958,2018-06-21 09:39:03+00:00,2018-10-25 17:31:42+00:00,3031.8775,126.32822916666667
travel permit 10984,2018-06-16 00:00:00+00:00,2018-07-05 17:31:35+00:00,473.5263888888889,19.730266203703703
travel permit 10998,2018-06-21 12:55:45+00:00,2018-09-03 17:31:13+00:00,1780.591111111111,74.1912962962963
travel permit 11008,2018-06-22 22:45:52+00:00,2018-09-20 17:31:17+00:00,2154.7569444444443,89.78153935185185
travel permit 11023,2018-06-24 00:00:00+00:00,2018-09-03 17:31:13+00:00,1721.5202777777777,71.73001157407407
travel permit 11041,2018-06-24 18:02:25+00:00,2018-09-10 17:31:24+00:00,1871.4830555555557,77.97846064814816
travel permit 11056,2018-06-24 22:31:34+00:00,2018-11-15 17:31:19+00:00,3450.9958333333334,143.79149305555555
travel permit 11076,2018-06-25 11:46:55+00:00,2018-10-11 17:31:07+00:00,2597.7366666666667,108.23902777777778
travel permit 11094,2018-06-25 11:52:41+00:00,2018-12-06 17:31:34+00:00,3941.6480555555554,164.23533564814815
travel permit 11112,2018-06-25 11:58:03+00:00,2018-09-27 17:31:24+00:00,2261.5558333333333,94.23149305555556
travel permit 1112,2017-07-16 00:00:00+00:00,2018-03-26 17:31:13+00:00,6089.520277777778,253.73001157407407
travel permit 11130,2018-06-25 12:37:53+00:00,2018-09-19 00:00:00+00:00,2051.368611111111,85.47369212962963
travel permit 11136,2018-06-11 00:00:00+00:00,2018-06-28 14:59:03+00:00,422.9841666666667,17.62434027777778
travel permit 11140,2018-06-28 11:05:44+00:00,2018-11-01 06:00:31+00:00,3018.9130555555557,125.7880439814815
travel permit 11147,2018-06-17 00:00:00+00:00,2018-07-16 17:31:25+00:00,713.5236111111111,29.730150462962964
travel permit 11165,2018-06-28 22:24:42+00:00,2018-08-02 17:31:27+00:00,835.1125,34.79635416666667
travel permit 11175,2018-09-05 00:00:00+00:00,2018-10-11 17:31:07+00:00,881.5186111111111,36.72994212962963
travel permit 11187,2018-09-28 11:34:01+00:00,2019-01-14 17:31:20+00:00,2597.9552777777776,108.24813657407407
travel permit 11200,2018-10-04 13:53:02+00:00,2018-12-21 00:00:00+00:00,1858.1161111111112,77.42150462962964
travel permit 11220,2018-10-04 14:04:31+00:00,2018-11-15 17:31:19+00:00,1011.4466666666667,42.14361111111111
travel permit 11231,2018-10-01 00:00:00+00:00,2018-10-12 16:58:47+00:00,280.9797222222222,11.707488425925925
travel permit 11237,2018-10-07 00:00:00+00:00,2018-10-25 17:31:42+00:00,449.5283333333333,18.73034722222222
travel permit 1124,2018-03-04 23:50:45+00:00,2018-12-20 17:31:29+00:00,6977.678888888889,290.73662037037036
travel permit 11247,2018-10-24 11:45:31+00:00,2018-12-14 00:00:00+00:00,1212.2413888888889,50.51005787037037
travel permit 11260,2018-10-24 12:38:03+00:00,2018-11-29 17:31:20+00:00,868.8880555555555,36.20366898148148
travel permit 11274,2018-10-31 10:29:19+00:00,2019-03-01 06:00:42+00:00,2899.5230555555554,120.81346064814814
travel permit 11279,2018-11-01 15:59:25+00:00,2018-12-03 17:31:23+00:00,769.5327777777778,32.063865740740745
travel permit 11290,2018-11-01 16:18:53+00:00,2018-12-17 17:31:08+00:00,1105.2041666666667,46.05017361111111
travel permit 11303,2018-11-02 11:53:37+00:00,2018-11-28 00:00:00+00:00,612.1063888888889,25.50443287037037
travel permit 11307,2018-11-05 10:19:33+00:00,2018-12-20 17:31:29+00:00,1087.1988888888889,45.2999537037037
travel permit 11318,2018-11-06 11:34:05+00:00,2019-01-01 06:00:13+00:00,1338.4355555555555,55.76814814814815
travel permit 11323,2018-11-09 14:34:55+00:00,2018-12-10 17:31:27+00:00,746.9422222222222,31.122592592592593
travel permit 11333,2018-11-09 14:35:21+00:00,2019-01-03 11:59:16+00:00,1317.3986111111112,54.8916087962963
